City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
558,Mulege,MX,83.14,broken clouds,26.8833,-111.9833,Casa Granada
561,Lufilufi,WS,81.37,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
565,Basco,PH,80.51,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
566,Sola,VU,80.47,few clouds,-13.8833,167.55,Leumerus Bungalows
567,Beroroha,MG,75.31,scattered clouds,-21.6667,45.1667,
568,Pecos,US,74.05,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
569,Upington,ZA,80.98,clear sky,-28.4478,21.2561,River Place Manor
574,Sarangani,PH,83.3,overcast clouds,5.4033,125.4636,Ballistic Islet
576,Ca Mau,VN,77.05,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
577,U Thong,TH,80.24,overcast clouds,14.3751,99.8923,คงทองทิพย์รีสอร์ท
578,Kununurra,AU,76.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
579,Galle,LK,78.82,overcast clouds,6.0367,80.217,Amangalla
580,Pizarro,CO,79.3,light rain,4.9533,-77.366,Hotel Limonar
581,Nago,JP,73.56,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
582,Honiara,SB,77.56,broken clouds,-9.4333,159.95,Heritage Park Hotel
583,Terra Rica,BR,74.88,overcast clouds,-22.7094,-52.6169,Victor Hotel
587,San Ignacio,BZ,84.34,few clouds,17.1561,-89.0714,Rainforest Haven Inn
591,Manubul,PH,83.44,overcast clouds,5.4732,120.7986,
593,Isangel,VU,74.23,broken clouds,-19.55,169.2667,Tanna Lodge
595,Sijunjung,ID,72.61,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
596,Numan,NG,87.15,broken clouds,9.4667,12.0333,Zangun Motel
597,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
598,Ladario,BR,89.89,scattered clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
599,Biak,ID,76.06,overcast clouds,-0.9131,122.8766,Penginapan Kim
601,Boma,GH,79.02,overcast clouds,7.0805,-2.1697,Obaatanpa Hotel
604,Praia Da Vitoria,PT,73.65,scattered clouds,38.7333,-27.0667,Hotel Branco I
606,Rabaul,PG,79.57,light rain,-4.1967,152.1721,Rabaul Hotel
607,Kilindoni,TZ,80.62,clear sky,-7.9139,39.6668,Bustani B&B
609,Baracoa,CU,82.87,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
610,Payyannur,IN,77.49,broken clouds,12.1,75.2,Kavvayi Beach House
616,Bandarbeyla,SO,79.52,scattered clouds,9.4942,50.8122,JABIR HOTEL
619,Aswan,EG,88.39,overcast clouds,24.0934,32.907,Nuba Nile
620,Nishihara,JP,72.68,few clouds,26.1842,127.7558,Minshuku Agaihama
624,Havelock,US,71.06,clear sky,34.8791,-76.9013,Sherwood Motel
626,Latung,PH,83.44,overcast clouds,5.5,120.8833,
630,Monrovia,LR,82.17,moderate rain,6.3005,-10.7969,Sunset Inn
631,Fredericksburg,US,70.81,broken clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
633,Mweka,CD,71.1,scattered clouds,-4.85,21.5667,Guest House Boshab
634,Loa Janan,ID,73.54,broken clouds,-0.583,117.095,Bangsal Pak Tikno
635,Port Hedland,AU,71.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
636,Kieta,PG,79.27,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
637,Quatre Cocos,MU,73.51,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
639,Wukari,NG,83.62,overcast clouds,7.85,9.7833,Elimtop
640,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
642,Faanui,PF,78.6,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
643,Kokopo,PG,77.07,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
644,Rabo De Peixe,PT,72.28,few clouds,37.8,-25.5833,Quinta das Giestas
647,Dingle,PH,75.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
648,Betioky,MG,71.69,overcast clouds,-23.7167,44.3833,Bungalows Acacias Hotel
649,Non Thai,TH,74.79,broken clouds,15.1981,102.0358,ครัวพี่หนุ่ม สงต่อน
650,Rocha,UY,74.68,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
651,Lagdo,CM,86.79,light rain,9.05,13.7333,
653,Tabou,CI,79.5,broken clouds,4.423,-7.3528,hotêl doufoulougou
656,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
657,Padang,ID,75.7,light rain,-0.9492,100.3543,Mercure Padang
659,Diapaga,BF,88.12,overcast clouds,12.0708,1.7889,
660,Vao,NC,70.86,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
663,Guaraniacu,BR,71.29,light rain,-25.1008,-52.8781,Dalla´s Hotel
665,Yuli,NG,83.5,overcast clouds,9.6989,10.2744,
666,Aquiraz,BR,89.22,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
667,Valentin Gomez Farias,MX,70.86,clear sky,28.2167,-106.5833,
668,San Lorenzo,PY,88.74,scattered clouds,-25.3333,-57.5333,Hotel del Sur
670,Nabire,ID,74.84,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
676,Pangkalanbuun,ID,73.9,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
677,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
679,Galveston,US,81.21,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
681,Cap Malheureux,MU,73.89,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
682,Lazaro Cardenas,MX,84.45,broken clouds,17.9583,-102.2,quinta antigua
684,Aden,YE,83.97,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
686,Port Said,EG,76.39,clear sky,31.2565,32.2841,Aracan Hotel
687,Pathein,MM,76.1,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
689,Upata,VE,87.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
690,Wanning,CN,76.06,overcast clouds,18.8003,110.3967,Paradise Hotel
693,Calamar,CO,82.35,broken clouds,10.2511,-74.9146,Hostal Katyalex
696,Kishapu,TZ,77.31,overcast clouds,-3.6167,33.8667,Special seat Guest House
698,Dumai,ID,74.1,overcast clouds,1.6833,101.45,Grand Zuri Dumai
699,Nalut,LY,72.95,clear sky,30.3333,10.85,
701,Venice,US,78.84,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
702,Kutum,SD,83.12,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
